元梦之星创作者平台LUA编程通用数据定义

充能大招列表
描述: 相关函数：设置玩家当前充能大招（SetRechargedAbility）
充能大招名字	充能大招ID
三重回旋镖	91002
雪人炮弹	91004
旋风锤	91006
喷气滑翔翼	91007
铁头冲锋	91008
陨石术	91009
魔法瓶	91010
芭蕉扇	91011
雷隐术	91012
能量护盾	91013
粘性炸弹	91014
守护精灵	91015
道具盲盒	91016
云朵方块	91018
冰雪公主	91020
反弹护盾	91021

动画列表
描述: 相关函数：让角色播放动作（PlayAnim）、让角色停止播放动作（StopAnim）
动画类型	动画名字	动画参数
乐器音效	电贝斯	小字组D-电贝斯2	520115
乐器音效	电贝斯	小字组#D-电贝斯2	520116
乐器音效	电贝斯	小字组E-电贝斯2	520117
乐器音效	电贝斯	小字组F-电贝斯2	520118
乐器音效	电贝斯	小字组#F-电贝斯2	520119
乐器音效	电贝斯	小字组G-电贝斯2	520120
乐器音效	电贝斯	小字组#G-电贝斯2	520121
乐器音效	电贝斯	小字组A-电贝斯2	520122
乐器音效	电贝斯	小字组#A-电贝斯2	520123
乐器音效	电贝斯	小字组B-电贝斯2	520124
乐器音效	电贝斯	小字一组C-电贝斯2	520125
乐器音效	电贝斯	小字一组#C-电贝斯2	520126
乐器音效	电贝斯	小字一组D-电贝斯2	520127
乐器音效	电贝斯	小字一组#D-电贝斯2	520128
乐器音效	电贝斯	小字一组E-电贝斯2	520129
乐器音效	电贝斯	小字一组F-电贝斯2	520130
乐器音效	电贝斯	小字一组#F-电贝斯2	520131
乐器音效	电贝斯	小字一组G-电贝斯2	520132
乐器音效	电贝斯	小字一组#G-电贝斯2	520133
乐器音效	电贝斯	小字一组A-电贝斯2	520134
乐器音效	电贝斯	小字一组#A-电贝斯2	520135
乐器音效	电贝斯	小字一组B-电贝斯2	520136
乐器音效	电贝斯	小字二组C-电贝斯2	520137
乐器音效	电贝斯	小字二组#C-电贝斯2	520138
乐器音效	电贝斯	小字二组D-电贝斯2	520139
乐器音效	电贝斯	小字二组#D-电贝斯2	520140
乐器音效	电贝斯	小字二组E-电贝斯2	520141
乐器音效	电贝斯	小字二组F-电贝斯2	520142
乐器音效	电贝斯	小字二组#F-电贝斯2	520143
乐器音效	电贝斯	小字二组G-电贝斯2	520144
乐器音效	电贝斯	小字二组#G-电贝斯2	520145
乐器音效	电贝斯	小字二组A-电贝斯2	520146
乐器音效	电贝斯	小字二组#A-电贝斯2	520147
乐器音效	电贝斯	小字二组B-电贝斯2	520148
乐器音效	电贝斯	小字三组C-电贝斯2	520149
乐器音效	电贝斯	小字三组#C-电贝斯2	520150
乐器音效	电贝斯	小字三组D-电贝斯2	520151
乐器音效	电贝斯	小字三组#D-电贝斯2	520152
乐器音效	电贝斯	小字三组E-电贝斯2	520153
乐器音效	电贝斯	小字三组F-电贝斯2	520154
乐器音效	电贝斯	小字三组#F-电贝斯2	520155
乐器音效	电贝斯	小字三组G-电贝斯2	520156
乐器音效	电贝斯	小字三组#G-电贝斯2	520157
乐器音效	电贝斯	小字三组A-电贝斯2	520158
乐器音效	电贝斯	小字三组#A-电贝斯2	520159
乐器音效	电贝斯	小字三组B-电贝斯2	520160
乐器音效	编钟	小字组C-编钟	530001
乐器音效	编钟	小字组#C-编钟	530002
乐器音效	编钟	小字组D-编钟	530003
乐器音效	编钟	小字组#D-编钟	530004
乐器音效	编钟	小字组E-编钟	530005
乐器音效	编钟	小字组F-编钟	530006
乐器音效	编钟	小字组#F-编钟	530007
乐器音效	编钟	小字组G-编钟	530008
乐器音效	编钟	小字组#G-编钟	530009
乐器音效	编钟	小字组A-编钟	530010
乐器音效	编钟	小字组#A-编钟	530011
乐器音效	编钟	小字组B-编钟	530012
乐器音效	编钟	小字一组C-编钟	530013
乐器音效	编钟	小字一组#C-编钟	530014
乐器音效	编钟	小字一组D-编钟	530015
乐器音效	编钟	小字一组#D-编钟	530016
乐器音效	编钟	小字一组E-编钟	530017
乐器音效	编钟	小字一组F-编钟	530018
乐器音效	编钟	小字一组#F-编钟	530019
乐器音效	编钟	小字一组G-编钟	530020
乐器音效	编钟	小字一组#G-编钟	530021
乐器音效	编钟	小字一组A-编钟	530022
乐器音效	编钟	小字一组#A-编钟	530023
乐器音效	编钟	小字一组B-编钟	530024
乐器音效	编钟	小字二组C-编钟	530025
乐器音效	编钟	小字二组#C-编钟	530026
乐器音效	编钟	小字二组D-编钟	530027
乐器音效	编钟	小字二组#D-编钟	530028
乐器音效	编钟	小字二组E-编钟	530029
乐器音效	编钟	小字二组F-编钟	530030
乐器音效	编钟	小字二组#F-编钟	530031
乐器音效	编钟	小字二组G-编钟	530032
乐器音效	编钟	小字二组#G-编钟	530033
乐器音效	编钟	小字二组A-编钟	530034
乐器音效	编钟	小字二组#A-编钟	530035
乐器音效	编钟	小字二组B-编钟	530036
乐器音效	古筝	小字组C-古筝	530101
乐器音效	古筝	小字组#C-古筝	530102
乐器音效	古筝	小字组D-古筝	530103
乐器音效	古筝	小字组#D-古筝	530104
乐器音效	古筝	小字组E-古筝	530105
乐器音效	古筝	小字组F-古筝	530106
乐器音效	古筝	小字组#F-古筝	530107
乐器音效	古筝	小字组G-古筝	530108
乐器音效	古筝	小字组#G-古筝	530109
乐器音效	古筝	小字组A-古筝	530110
乐器音效	古筝	小字组#A-古筝	530111
乐器音效	古筝	小字组B-古筝	530112
乐器音效	古筝	小字一组C-古筝	530113
乐器音效	古筝	小字一组#C-古筝	530114
乐器音效	古筝	小字一组D-古筝	530115
乐器音效	古筝	小字一组#D-古筝	530116
乐器音效	古筝	小字一组E-古筝	530117
乐器音效	古筝	小字一组F-古筝	530118
乐器音效	古筝	小字一组#F-古筝	530119
乐器音效	古筝	小字一组G-古筝	530120
乐器音效	古筝	小字一组#G-古筝	530121
乐器音效	古筝	小字一组A-古筝	530122
乐器音效	古筝	小字一组#A-古筝	530123
乐器音效	古筝	小字一组B-古筝	530124
乐器音效	古筝	小字二组C-古筝	530125
乐器音效	古筝	小字二组#C-古筝	530126
乐器音效	古筝	小字二组D-古筝	530127
乐器音效	古筝	小字二组#D-古筝	530128
乐器音效	古筝	小字二组E-古筝	530129
乐器音效	古筝	小字二组F-古筝	530130
乐器音效	古筝	小字二组#F-古筝	530131
乐器音效	古筝	小字二组G-古筝	530132
乐器音效	古筝	小字二组#G-古筝	530133
乐器音效	古筝	小字二组A-古筝	530134
乐器音效	古筝	小字二组#A-古筝	530135
乐器音效	古筝	小字二组B-古筝	530136
乐器音效	琵琶	小字组C-琵琶	530201
乐器音效	琵琶	小字组#C-琵琶	530202
乐器音效	琵琶	小字组D-琵琶	530203
乐器音效	琵琶	小字组#D-琵琶	530204
乐器音效	琵琶	小字组E-琵琶	530205
乐器音效	琵琶	小字组F-琵琶	530206
乐器音效	琵琶	小字组#F-琵琶	530207
乐器音效	琵琶	小字组G-琵琶	530208
乐器音效	琵琶	小字组#G-琵琶	530209
乐器音效	琵琶	小字组A-琵琶	530210
乐器音效	琵琶	小字组#A-琵琶	530211
乐器音效	琵琶	小字组B-琵琶	530212
乐器音效	琵琶	小字一组C-琵琶	530213
乐器音效	琵琶	小字一组#C-琵琶	530214
乐器音效	琵琶	小字一组D-琵琶	530215
乐器音效	琵琶	小字一组#D-琵琶	530216
乐器音效	琵琶	小字一组E-琵琶	530217
乐器音效	琵琶	小字一组F-琵琶	530218
乐器音效	琵琶	小字一组#F-琵琶	530219
乐器音效	琵琶	小字一组G-琵琶	530220
乐器音效	琵琶	小字一组#G-琵琶	530221
乐器音效	琵琶	小字一组A-琵琶	530222
乐器音效	琵琶	小字一组#A-琵琶	530223
乐器音效	琵琶	小字一组B-琵琶	530224
乐器音效	琵琶	小字二组C-琵琶	530225
乐器音效	琵琶	小字二组#C-琵琶	530226
乐器音效	琵琶	小字二组D-琵琶	530227
乐器音效	琵琶	小字二组#D-琵琶	530228
乐器音效	琵琶	小字二组E-琵琶	530229
乐器音效	琵琶	小字二组F-琵琶	530230
乐器音效	琵琶	小字二组#F-琵琶	530231
乐器音效	琵琶	小字二组G-琵琶	530232
乐器音效	琵琶	小字二组#G-琵琶	530233
乐器音效	琵琶	小字二组A-琵琶	530234
乐器音效	琵琶	小字二组#A-琵琶	530235
乐器音效	琵琶	小字二组B-琵琶	530236
乐器音效	扬琴	小字组C-扬琴	530301
乐器音效	扬琴	小字组#C-扬琴	530302
乐器音效	扬琴	小字组D-扬琴	530303
乐器音效	扬琴	小字组#D-扬琴	530304
乐器音效	扬琴	小字组E-扬琴	530305
乐器音效	扬琴	小字组F-扬琴	530306
乐器音效	扬琴	小字组#F-扬琴	530307
乐器音效	扬琴	小字组G-扬琴	530308
乐器音效	扬琴	小字组#G-扬琴	530309
乐器音效	扬琴	小字组A-扬琴	530310
乐器音效	扬琴	小字组#A-扬琴	530311
乐器音效	扬琴	小字组B-扬琴	530312
乐器音效	扬琴	小字一组C-扬琴	530313
乐器音效	扬琴	小字一组#C-扬琴	530314
乐器音效	扬琴	小字一组D-扬琴	530315
乐器音效	扬琴	小字一组#D-扬琴	530316
乐器音效	扬琴	小字一组E-扬琴	530317
乐器音效	扬琴	小字一组F-扬琴	530318
乐器音效	扬琴	小字一组#F-扬琴	530319
乐器音效	扬琴	小字一组G-扬琴	530320
乐器音效	扬琴	小字一组#G-扬琴	530321
乐器音效	扬琴	小字一组A-扬琴	530322
乐器音效	扬琴	小字一组#A-扬琴	530323
乐器音效	扬琴	小字一组B-扬琴	530324
乐器音效	扬琴	小字二组C-扬琴	530325
乐器音效	扬琴	小字二组#C-扬琴	530326
乐器音效	扬琴	小字二组D-扬琴	530327
乐器音效	扬琴	小字二组#D-扬琴	530328
乐器音效	扬琴	小字二组E-扬琴	530329
乐器音效	扬琴	小字二组F-扬琴	530330
乐器音效	扬琴	小字二组#F-扬琴	530331
乐器音效	扬琴	小字二组G-扬琴	530332
乐器音效	扬琴	小字二组#G-扬琴	530333
乐器音效	扬琴	小字二组A-扬琴	530334
乐器音效	扬琴	小字二组#A-扬琴	530335
乐器音效	扬琴	小字二组B-扬琴	530336
乐器音效	扬琴	小字三组C-扬琴	530337
乐器音效	扬琴	小字三组#C-扬琴	530338
乐器音效	扬琴	小字三组D-扬琴	530339
乐器音效	扬琴	小字三组#D-扬琴	530340
乐器音效	扬琴	小字三组E-扬琴	530341
乐器音效	扬琴	小字三组F-扬琴	530342
乐器音效	扬琴	小字三组#F-扬琴	530343
乐器音效	扬琴	小字三组G-扬琴	530344
乐器音效	扬琴	小字三组#G-扬琴	530345
乐器音效	扬琴	小字三组A-扬琴	530346
乐器音效	扬琴	小字三组#A-扬琴	530347
乐器音效	扬琴	小字三组B-扬琴	530348
乐器音效	合成锯齿波	小字组C-锯齿波	540001
乐器音效	合成锯齿波	小字组#C-锯齿波	540002
乐器音效	合成锯齿波	小字组D-锯齿波	540003
乐器音效	合成锯齿波	小字组#D-锯齿波	540004
乐器音效	合成锯齿波	小字组E-锯齿波	540005
乐器音效	合成锯齿波	小字组F-锯齿波	540006
乐器音效	合成锯齿波	小字组#F-锯齿波	540007
乐器音效	合成锯齿波	小字组G-锯齿波	540008
乐器音效	合成锯齿波	小字组#G-锯齿波	540009
乐器音效	合成锯齿波	小字组A-锯齿波	540010
乐器音效	合成锯齿波	小字组#A-锯齿波	540011
乐器音效	合成锯齿波	小字组B-锯齿波	540012
乐器音效	合成锯齿波	小字一组C-锯齿波	540013
乐器音效	合成锯齿波	小字一组#C-锯齿波	540014
乐器音效	合成锯齿波	小字一组D-锯齿波	540015
乐器音效	合成锯齿波	小字一组#D-锯齿波	540016
乐器音效	合成锯齿波	小字一组E-锯齿波	540017
乐器音效	合成锯齿波	小字一组F-锯齿波	540018
乐器音效	合成锯齿波	小字一组#F-锯齿波	540019
乐器音效	合成锯齿波	小字一组G-锯齿波	540020
乐器音效	合成锯齿波	小字一组#G-锯齿波	540021
乐器音效	合成锯齿波	小字一组A-锯齿波	540022
乐器音效	合成锯齿波	小字一组#A-锯齿波	540023
乐器音效	合成锯齿波	小字一组B-锯齿波	540024
乐器音效	合成锯齿波	小字二组C-锯齿波	540025
乐器音效	合成锯齿波	小字二组#C-锯齿波	540026
乐器音效	合成锯齿波	小字二组D-锯齿波	540027
乐器音效	合成锯齿波	小字二组#D-锯齿波	540028
乐器音效	合成锯齿波	小字二组E-锯齿波	540029
乐器音效	合成锯齿波	小字二组F-锯齿波	540030
乐器音效	合成锯齿波	小字二组#F-锯齿波	540031
乐器音效	合成锯齿波	小字二组G-锯齿波	540032
乐器音效	合成锯齿波	小字二组#G-锯齿波	540033
乐器音效	合成锯齿波	小字二组A-锯齿波	540034
乐器音效	合成锯齿波	小字二组#A-锯齿波	540035
乐器音效	合成锯齿波	小字二组B-锯齿波	540036
乐器音效	合成锯齿波	小字三组C-锯齿波	540037
乐器音效	合成锯齿波	小字三组#C-锯齿波	540038
乐器音效	合成锯齿波	小字三组D-锯齿波	540039
乐器音效	合成锯齿波	小字三组#D-锯齿波	540040
乐器音效	合成锯齿波	小字三组E-锯齿波	540041
乐器音效	合成锯齿波	小字三组F-锯齿波	540042
乐器音效	合成锯齿波	小字三组#F-锯齿波	540043
乐器音效	合成锯齿波	小字三组G-锯齿波	540044
乐器音效	合成锯齿波	小字三组#G-锯齿波	540045
乐器音效	合成锯齿波	小字三组A-锯齿波	540046
乐器音效	合成锯齿波	小字三组#A-锯齿波	540047
乐器音效	合成锯齿波	小字三组B-锯齿波	540048
乐器音效	合成方波	小字组C-方波	540101
乐器音效	合成方波	小字组#C-方波	540102
乐器音效	合成方波	小字组D-方波	540103
乐器音效	合成方波	小字组#D-方波	540104
乐器音效	合成方波	小字组E-方波	540105
乐器音效	合成方波	小字组F-方波	540106
乐器音效	合成方波	小字组#F-方波	540107
乐器音效	合成方波	小字组G-方波	540108
乐器音效	合成方波	小字组#G-方波	540109
乐器音效	合成方波	小字组A-方波	540110
乐器音效	合成方波	小字组#A-方波	540111
乐器音效	合成方波	小字组B-方波	540112
乐器音效	合成方波	小字一组C-方波	540113
乐器音效	合成方波	小字一组#C-方波	540114
乐器音效	合成方波	小字一组D-方波	540115
乐器音效	合成方波	小字一组#D-方波	540116
乐器音效	合成方波	小字一组E-方波	540117
乐器音效	合成方波	小字一组F-方波	540118
乐器音效	合成方波	小字一组#F-方波	540119
乐器音效	合成方波	小字一组G-方波	540120
乐器音效	合成方波	小字一组#G-方波	540121
乐器音效	合成方波	小字一组A-方波	540122
乐器音效	合成方波	小字一组#A-方波	540123
乐器音效	合成方波	小字一组B-方波	540124
乐器音效	合成方波	小字二组C-方波	540125
乐器音效	合成方波	小字二组#C-方波	540126
乐器音效	合成方波	小字二组D-方波	540127
乐器音效	合成方波	小字二组#D-方波	540128
乐器音效	合成方波	小字二组E-方波	540129
乐器音效	合成方波	小字二组F-方波	540130
乐器音效	合成方波	小字二组#F-方波	540131
乐器音效	合成方波	小字二组G-方波	540132
乐器音效	合成方波	小字二组#G-方波	540133
乐器音效	合成方波	小字二组A-方波	540134
乐器音效	合成方波	小字二组#A-方波	540135
乐器音效	合成方波	小字二组B-方波	540136
乐器音效	合成方波	小字三组C-方波	540137
乐器音效	合成方波	小字三组#C-方波	540138
乐器音效	合成方波	小字三组D-方波	540139
乐器音效	合成方波	小字三组#D-方波	540140
乐器音效	合成方波	小字三组E-方波	540141
乐器音效	合成方波	小字三组F-方波	540142
乐器音效	合成方波	小字三组#F-方波	540143
乐器音效	合成方波	小字三组G-方波	540144
乐器音效	合成方波	小字三组#G-方波	540145
乐器音效	合成方波	小字三组A-方波	540146
乐器音效	合成方波	小字三组#A-方波	540147
乐器音效	合成方波	小字三组B-方波	540148
乐器音效	合成器Lead	大字组C-Lead	540201
乐器音效	合成器Lead	大字组#C-Lead	540202
乐器音效	合成器Lead	大字组D-Lead	540203
乐器音效	合成器Lead	大字组#D-Lead	540204
乐器音效	合成器Lead	大字组E-Lead	540205
乐器音效	合成器Lead	大字组F-Lead	540206
乐器音效	合成器Lead	大字组#F-Lead	540207
乐器音效	合成器Lead	大字组G-Lead	540208
乐器音效	合成器Lead	大字组#G-Lead	540209
乐器音效	合成器Lead	大字组A-Lead	540210
乐器音效	合成器Lead	大字组#A-Lead	540211
乐器音效	合成器Lead	大字组B-Lead	540212
乐器音效	合成器Lead	小字组C-Lead	540213
乐器音效	合成器Lead	小字组#C-Lead	540214
乐器音效	合成器Lead	小字组D-Lead	540215
乐器音效	合成器Lead	小字组#D-Lead	540216
乐器音效	合成器Lead	小字组E-Lead	540217
乐器音效	合成器Lead	小字组F-Lead	540218
乐器音效	合成器Lead	小字组#F-Lead	540219
乐器音效	合成器Lead	小字组G-Lead	540220
乐器音效	合成器Lead	小字组#G-Lead	540221
乐器音效	合成器Lead	小字组A-Lead	540222
乐器音效	合成器Lead	小字组#A-Lead	540223
乐器音效	合成器Lead	小字组B-Lead	540224
乐器音效	合成器Lead	小字一组C-Lead	540225
乐器音效	合成器Lead	小字一组#C-Lead	540226
乐器音效	合成器Lead	小字一组D-Lead	540227
乐器音效	合成器Lead	小字一组#D-Lead	540228
乐器音效	合成器Lead	小字一组E-Lead	540229
乐器音效	合成器Lead	小字一组F-Lead	540230
乐器音效	合成器Lead	小字一组#F-Lead	540231
乐器音效	合成器Lead	小字一组G-Lead	540232
乐器音效	合成器Lead	小字一组#G-Lead	540233
乐器音效	合成器Lead	小字一组A-Lead	540234
乐器音效	合成器Lead	小字一组#A-Lead	540235
乐器音效	合成器Lead	小字一组B-Lead	540236
乐器音效	合成器Lead	小字二组C-Lead	540237
乐器音效	合成器Lead	小字二组#C-Lead	540238
乐器音效	合成器Lead	小字二组D-Lead	540239
乐器音效	合成器Lead	小字二组#D-Lead	540240
乐器音效	合成器Lead	小字二组E-Lead	540241
乐器音效	合成器Lead	小字二组F-Lead	540242
乐器音效	合成器Lead	小字二组#F-Lead	540243
乐器音效	合成器Lead	小字二组G-Lead	540244
乐器音效	合成器Lead	小字二组#G-Lead	540245
乐器音效	合成器Lead	小字二组A-Lead	540246
乐器音效	合成器Lead	小字二组#A-Lead	540247
乐器音效	合成器Lead	小字二组B-Lead	540248
乐器音效	合成器Lead	小字三组C-Lead	540249
乐器音效	合成器Lead	小字三组#C-Lead	540250
乐器音效	合成器Lead	小字三组D-Lead	540251
乐器音效	合成器Lead	小字三组#D-Lead	540252
乐器音效	合成器Lead	小字三组E-Lead	540253
乐器音效	合成器Lead	小字三组F-Lead	540254
乐器音效	合成器Lead	小字三组#F-Lead	540255
乐器音效	合成器Lead	小字三组G-Lead	540256
乐器音效	合成器Lead	小字三组#G-Lead	540257
乐器音效	合成器Lead	小字三组A-Lead	540258
乐器音效	合成器Lead	小字三组#A-Lead	540259
乐器音效	合成器Lead	小字三组B-Lead	540260
乐器音效	电子人声	小字组C-电子人声	550001
乐器音效	电子人声	小字组#C-电子人声	550002
乐器音效	电子人声	小字组D-电子人声	550003
乐器音效	电子人声	小字组#D-电子人声	550004
乐器音效	电子人声	小字组E-电子人声	550005
乐器音效	电子人声	小字组F-电子人声	550006
乐器音效	电子人声	小字组#F-电子人声	550007
乐器音效	电子人声	小字组G-电子人声	550008
乐器音效	电子人声	小字组#G-电子人声	550009
乐器音效	电子人声	小字组A-电子人声	550010
乐器音效	电子人声	小字组#A-电子人声	550011
乐器音效	电子人声	小字组B-电子人声	550012
乐器音效	电子人声	小字一组C-电子人声	550013
乐器音效	电子人声	小字一组#C-电子人声	550014
乐器音效	电子人声	小字一组D-电子人声	550015
乐器音效	电子人声	小字一组#D-电子人声	550016
乐器音效	电子人声	小字一组E-电子人声	550017
乐器音效	电子人声	小字一组F-电子人声	550018
乐器音效	电子人声	小字一组#F-电子人声	550019
乐器音效	电子人声	小字一组G-电子人声	550020
乐器音效	电子人声	小字一组#G-电子人声	550021
乐器音效	电子人声	小字一组A-电子人声	550022
乐器音效	电子人声	小字一组#A-电子人声	550023
乐器音效	电子人声	小字一组B-电子人声	550024
乐器音效	电子人声	小字二组C-电子人声	550025
乐器音效	电子人声	小字二组#C-电子人声	550026
乐器音效	电子人声	小字二组D-电子人声	550027
乐器音效	电子人声	小字二组#D-电子人声	550028
乐器音效	电子人声	小字二组E-电子人声	550029
乐器音效	电子人声	小字二组F-电子人声	550030
乐器音效	电子人声	小字二组#F-电子人声	550031
乐器音效	电子人声	小字二组G-电子人声	550032
乐器音效	电子人声	小字二组#G-电子人声	550033
乐器音效	电子人声	小字二组A-电子人声	550034
乐器音效	电子人声	小字二组#A-电子人声	550035
乐器音效	电子人声	小字二组B-电子人声	550036
乐器音效	电子人声	小字三组C-电子人声	550037
乐器音效	电子人声	小字三组#C-电子人声	550038
乐器音效	电子人声	小字三组D-电子人声	550039
乐器音效	电子人声	小字三组#D-电子人声	550040
乐器音效	电子人声	小字三组E-电子人声	550041
乐器音效	电子人声	小字三组F-电子人声	550042
乐器音效	电子人声	小字三组#F-电子人声	550043
乐器音效	电子人声	小字三组G-电子人声	550044
乐器音效	电子人声	小字三组#G-电子人声	550045
乐器音效	电子人声	小字三组A-电子人声	550046
乐器音效	电子人声	小字三组#A-电子人声	550047
乐器音效	电子人声	小字三组B-电子人声	550048
乐器音效	打击乐	搓碟1	556001
乐器音效	打击乐	搓碟1	556002
乐器音效	打击乐	搓碟1	556003
乐器音效	打击乐	搓碟1	556004
乐器音效	打击乐	搓碟1	556005
乐器音效	打击乐	拍手1	560001
乐器音效	打击乐	拍手1	560002
乐器音效	打击乐	拍手1	560003
乐器音效	打击乐	拍手1	560004
乐器音效	打击乐	拍手1	560005
乐器音效	打击乐	镲1	560051
乐器音效	打击乐	镲2	560052
乐器音效	打击乐	镲3	560053
乐器音效	打击乐	镲4	560054
乐器音效	打击乐	镲5	560055
乐器音效	打击乐	电镲1	560201
乐器音效	打击乐	电镲2	560202
乐器音效	打击乐	电镲3	560203
乐器音效	打击乐	电镲4	560204
乐器音效	打击乐	电镲5	560205
乐器音效	打击乐	底鼓1	560101
乐器音效	打击乐	底鼓2	560102
乐器音效	打击乐	底鼓3	560103
乐器音效	打击乐	底鼓4	560104
乐器音效	打击乐	底鼓5	560105
乐器音效	打击乐	电底鼓1	560251
乐器音效	打击乐	电底鼓2	560252
乐器音效	打击乐	电底鼓3	560253
乐器音效	打击乐	电底鼓4	560254
乐器音效	打击乐	电底鼓5	560255
乐器音效	打击乐	军鼓1	560151
乐器音效	打击乐	军鼓2	560152
乐器音效	打击乐	军鼓3	560153
乐器音效	打击乐	军鼓4	560154
乐器音效	打击乐	军鼓5	560155
乐器音效	打击乐	电军鼓1	560301
乐器音效	打击乐	电军鼓2	560302
乐器音效	打击乐	电军鼓3	560303
乐器音效	打击乐	电军鼓4	560304
乐器音效	打击乐	电军鼓5	560305

表情图标列表
描述: 相关函数：对玩家弹出对话框（ShowDialogue）
表情图标名字	表情图标参数
无	0
极力否认	300001
冲呀冲呀	300002
赠花	300003
寄刀片	300004
鄙视	300005
暗送秋波	300006
午夜心碎	300007
含情脉脉	300008
星星眼	300009
打入心房	300010
宝宝叹气	300011
冤枉流泪	300012
疼痛流泪	300013
加油	300014
开心	300015
亲亲	300016
问好	300017
太酷啦	300018
大哭	300019
露齿笑	300020
我酸了	300021
偷笑	300022
美味	300023
熬夜	300024
流汗	300025
奋斗	300026
疑惑	300027
奸笑	300028
可怜	300029
再见	300030

生物类型列表
描述: 相关函数：创建生物（SpawnCreature）
一级分类	生物类型名字	生物类型ID
星宝	星宝	 1114000000000005
星宝	易斑斑	 1114000000000000
星宝	虎子哥	 1114000000000001
星宝	好好鸭	 1114000000000002
星宝	紫萝萝	 1114000000000003
星宝	玫珊珊	 1114000000000004
暗星	蛮蛮-橙	 1114000000000010
暗星	蛮蛮-绿	 1114000000000014
暗星	蛮蛮-黄	 1114000000000015
暗星	刀刀-黄	 1114000000000016
暗星	涂涂	 1114000000000017
暗星	雷霆领主	 1114000000000018
暗星	闹闹青	 1114000000000019
暗星	刀刀-紫	 1114000000000020
暗星	治愈星-紫	 1114000000000021
兽人	轻型兽人	 1114000000000023
兽人	中型兽人	 1114000000000024
兽人	兽人射手	 1114000000000025
兽人	巨怪	 1114000000000026
兽人	豺狼人猎手	 1114000000000027
兽人	山地巨魔	 1114000000000028
兽人	克拉格	 1114000000000029
兽人	大富翁先生	 1114000000000030
兽人	狗头人工兵	 1114000000000031
兽人	巨魔	 1114000000000032
兽人	轻型火魔	 1114000000000033
兽人	地狱魔婴	 1114000000000034
兽人	地狱蝙蝠	 1114000000000035
兽人	冰霜蝙蝠	 1114000000000050
兽人	豺狼人投弹手	 1114000000000053
兽人	重型兽人	 1114000000000055
兽人	装甲巨怪	 1114000000000056
兽人	火魔	 1114000000000058
兽人	火魔霸主	 1114000000000059
兽人	火魔奔袭者	 1114000000000060
兽人	火魔法师	 1114000000000061
兽人	中型火魔	 1114000000000062
兽人	胆汁蝙蝠	 1114000000000065
兽人	狂野奔袭者	 1114000000000066
兽人	狗头人奔袭者	 1114000000000067
兽人	爆炸射手	 1114000000000068

对话框皮肤列表
描述: 相关函数：对玩家弹出对话框（ShowDialogue）
对话框皮肤名字	对话框皮肤参数
默认	0
国风1	400001
国风2	400002
科技风	400003
卡通1	400004
卡通2	400005
纸质	400006
水墨	400007
渐变	400008

特效列表
描述: 相关函数：在角色上创建特效（PlayOnCharacter）、在元件上创建特效（PlayOnActor）、在场景中创建特效（PlayAtPosition）、在生物上创建特效（PlayOnCreature）、在相机上创建特效（PlayOnCamera）
特效类型	特效名字	特效类型_1
无	无特效	-1
装饰特效	蓝极光	18
装饰特效	绿极光	19
装饰特效	双色星云	20
装饰特效	炎爆	23
装饰特效	熔岩喷泉	28
装饰特效	融火领域	29
装饰特效	焦土领域	30
装饰特效	火焰核心	31
装饰特效	天火	32
装饰特效	龙卷风	34
装饰特效	球型闪电	46
装饰特效	阵型闪电	47
装饰特效	星光闪电	48
装饰特效	双色闪电	49
装饰特效	卡通闪电	50
装饰特效	雷光闪电	51
装饰特效	涟漪	55
装饰特效	水波	56
装饰特效	瀑布	57
装饰特效	瀑布水花	58
装饰特效	喷泉1	59
装饰特效	喷泉2	60
装饰特效	蝴蝶1	61
装饰特效	蝴蝶2	62
装饰特效	流萤	63
装饰特效	飞鸟	64
装饰特效	蝙蝠1	65
装饰特效	蝙蝠2	66
装饰特效	火焰	67
装饰特效	阳光1	68
装饰特效	阳光2	69
装饰特效	细雨	70
装饰特效	暴风雨	71
装饰特效	烟雾	72
装饰特效	雾气	73
装饰特效	雪花	74
装饰特效	彩虹	75
装饰特效	极光	76
装饰特效	星星	77
装饰特效	许愿星	78
装饰特效	闪电	79
装饰特效	沙尘暴	80
装饰特效	流火	81
装饰特效	篝火火焰	82
装饰特效	烛火	83
装饰特效	落花	84
装饰特效	落叶	85
装饰特效	墨梅	86
装饰特效	竹叶	87
装饰特效	蒲公英	88
装饰特效	泡泡	101
装饰特效	爱心泡泡	102
装饰特效	星星泡泡	103
装饰特效	泡泡群	104
装饰特效	气泡	105
装饰特效	粒子光束1	106
装饰特效	粒子光束2	107
装饰特效	粉红心心	109
装饰特效	光芒球	113
装饰特效	烟花	114
装饰特效	烟花群	115
装饰特效	小烟花	116
装饰特效	炊烟	117
装饰特效	灯光1	119
装饰特效	灯光2	120
装饰特效	灯光3	121
装饰特效	辉光	122
装饰特效	宝箱特效	123
装饰特效	音符	124
装饰特效	彩带	125
装饰特效	金币雨	126
装饰特效	电网	130
装饰特效	魔法火焰	131
装饰特效	银月光球	151
装饰特效	光球涌动	152
装饰特效	水枪喷水	195
装饰特效	速度线	262
装饰特效	精灵粉尘	268
角色特效	护盾	11
角色特效	回复环	15
角色特效	燃烧状态	24
角色特效	物理受击	37
角色特效	能量受击	38
角色特效	水受击	39
角色特效	电受击	40
角色特效	毒受击	41
角色特效	波涛受击	42
